Financial Year,Coin,Date,Description,Type,Qty Change,Value (ZAR),Unit Cost (ZAR) / Unit Cost Value,Lot Reference,Pool
FY2024,XBT,2023-06-13 02:06:20,Trading fee,out_fee_buy,-0.00005,24.47,24.47,,out_fee_buy
FY2024,LTC,2023-06-14 22:05:45,Trading fee,out_fee_buy,-0.006,8.57,8.57,,out_fee_buy
FY2024,XBT,2023-06-21 17:39:40,Trading fee,out_fee_sell,-0.00002141,11.93,11.93,,out_fee_sell
FY2024,ETH,2023-06-22 04:34:41,Trading fee,out_fee_sell,-0.00050976,18.31,18.31,,out_fee_sell
FY2024,ETH,2023-06-22 04:34:44,Trading fee,out_fee_sell,-0.00009023,3.24,3.24,,out_fee_sell
FY2024,XBT,2023-06-23 18:08:05,Trading fee,out_fee_sell,-0.0000055,3.27,3.27,,out_fee_sell
FY2024,XBT,2023-06-23 18:08:05,Trading fee,out_fee_sell,-0.0000445,26.51,26.51,,out_fee_sell
FY2024,ETH,2023-06-23 18:12:21,Trading fee,out_fee_sell,-0.0000025,0.09,0.09,,out_fee_sell
FY2024,ETH,2023-06-23 18:12:21,Trading fee,out_fee_sell,-0.0000025,0.09,0.09,,out_fee_sell
FY2024,ETH,2023-06-23 18:12:21,Trading fee,out_fee_sell,-0.00000164,0.06,0.06,,out_fee_sell
FY2024,ETH,2023-06-23 18:12:38,Trading fee,out_fee_sell,-0.00001589,0.58,0.58,,out_fee_sell
FY2024,ETH,2023-06-23 18:12:54,Trading fee,out_fee_sell,-0.0000015,0.05,0.05,,out_fee_sell
FY2024,ETH,2023-06-23 18:12:55,Trading fee,out_fee_sell,-0.0000015,0.05,0.05,,out_fee_sell
FY2024,ETH,2023-06-23 18:12:55,Trading fee,out_fee_sell,-0.0000015,0.05,0.05,,out_fee_sell
FY2024,ETH,2023-06-23 18:12:56,Trading fee,out_fee_sell,-0.0000015,0.05,0.05,,out_fee_sell
FY2024,ETH,2023-06-23 18:12:56,Trading fee,out_fee_sell,-0.0000015,0.05,0.05,,out_fee_sell
FY2024,ETH,2023-06-23 18:12:57,Trading fee,out_fee_sell,-0.0000015,0.05,0.05,,out_fee_sell
FY2024,ETH,2023-06-23 18:12:58,Trading fee,out_fee_sell,-0.0000015,0.05,0.05,,out_fee_sell
FY2024,ETH,2023-06-23 18:12:59,Trading fee,out_fee_sell,-0.0000015,0.05,0.05,,out_fee_sell
FY2024,ETH,2023-06-23 18:13:26,Trading fee,out_fee_sell,-0.0000015,0.05,0.05,,out_fee_sell
FY2024,ETH,2023-06-23 18:13:27,Trading fee,out_fee_sell,-0.00056512,20.81,20.81,,out_fee_sell
FY2024,ETH,2023-06-23 18:13:27,Trading fee,out_fee_sell,-0.0000015,0.05,0.05,,out_fee_sell
FY2024,ETH,2023-07-03 09:38:16,Trading fee,out_fee_sell,-0.0006,22.56,22.56,,out_fee_sell
FY2024,LTC,2023-07-03 21:33:20,Trading fee,out_fee_sell,-0.0253795,51.86,51.86,,out_fee_sell
FY2024,LTC,2023-07-03 21:33:20,Trading fee,out_fee_sell,-0.0090027,18.39,18.39,,out_fee_sell
FY2024,XBT,2023-07-03 21:34:57,Trading fee,out_fee_sell,-0.000027,16.12,16.12,,out_fee_sell
FY2024,XBT,2023-07-03 21:34:57,Trading fee,out_fee_sell,-0.000003,1.79,1.79,,out_fee_sell
FY2024,ETH,2023-07-03 21:45:05,Trading fee,out_fee_sell,-0.0005,18.79,18.79,,out_fee_sell
FY2024,LTC,2023-07-04 23:39:27,Trading fee,out_fee_sell,-0.0000295,0.05,0.05,,out_fee_sell
FY2024,XRP,2023-07-12 21:17:12,Trading fee,out_fee_buy,-2.5,21.99,21.99,,out_fee_buy
FY2024,XRP,2023-07-13 18:20:48,Trading fee,out_fee_sell,-0.115,1.28,1.28,,out_fee_sell
FY2024,XRP,2023-07-13 18:20:49,Trading fee,out_fee_sell,-2.931,32.8,32.8,,out_fee_sell
FY2024,XRP,2023-07-13 19:06:49,Trading fee,out_fee_sell,-1.479,17.05,17.05,,out_fee_sell
FY2024,ETH,2023-11-09 17:19:19,Trading fee,out_fee_sell,-0.0006,23.14,23.14,,out_fee_sell
FY2024,ETH,2023-12-07 23:10:25,Trading fee,out_fee_sell,-0.0016428,73.47,73.47,,out_fee_sell
FY2024,ETH,2023-12-07 23:10:25,Trading fee,out_fee_sell,-0.00008503,3.8,3.8,,out_fee_sell
FY2025,XRP,2024-07-04 04:00:55,Trading fee,out_fee_buy,-1.5,12.82,12.82,,out_fee_buy
FY2025,XRP,2024-11-18 12:13:40,Trading fee,out_fee_sell,-1.47,30.47,30.47,,out_fee_sell
FY2025,XRP,2024-11-18 12:13:40,Trading fee,out_fee_sell,-1.5,31.1,31.1,,out_fee_sell
FY2025,ETH,2024-11-18 12:14:56,Trading fee,out_fee_sell,-0.000738,41.98,41.98,,out_fee_sell
FY2025,ETH,2024-11-18 12:14:57,Trading fee,out_fee_sell,-0.00024018,13.66,13.66,,out_fee_sell
FY2025,ETH,2024-11-18 12:14:57,Trading fee,out_fee_sell,-0.00006781,3.85,3.85,,out_fee_sell
FY2025,ETH,2024-11-21 14:12:38,Trading fee,out_fee_sell,-0.00003929,2.29,2.29,,out_fee_sell
FY2025,ETH,2024-11-21 14:12:44,Trading fee,out_fee_sell,-0.00064684,37.85,37.85,,out_fee_sell
FY2025,ETH,2024-11-21 14:12:51,Trading fee,out_fee_sell,-0.00011385,6.66,6.66,,out_fee_sell
FY2025,ETH,2024-11-21 20:51:17,Trading fee,out_fee_sell,-0.00019099,11.69,11.69,,out_fee_sell
FY2025,ETH,2024-11-21 20:53:18,Trading fee,out_fee_sell,-0.00000957,0.58,0.58,,out_fee_sell
FY2025,ETH,2024-11-21 20:53:38,Trading fee,out_fee_sell,-0.00007173,4.38,4.38,,out_fee_sell
FY2025,ETH,2024-11-21 20:54:41,Trading fee,out_fee_sell,-0.00024296,14.86,14.86,,out_fee_sell
FY2025,ETH,2024-11-21 20:55:08,Trading fee,out_fee_sell,-0.00008474,5.18,5.18,,out_fee_sell
FY2025,ETH,2024-11-23 16:27:34,Trading fee,out_fee_sell,-0.0008,50.66,50.66,,out_fee_sell
FY2025,ETH,2024-11-27 23:50:45,Trading fee,out_fee_sell,-0.00060644,40.38,40.38,,out_fee_sell
FY2025,BCH,2024-12-04 22:27:22,Trading fee,out_fee_sell,-0.000275,2.9,2.9,,out_fee_sell
FY2025,BCH,2024-12-04 22:46:30,Trading fee,out_fee_sell,-0.0032826,34.28,34.28,,out_fee_sell
FY2026,ETH,2025-04-07 20:48:54,Trading fee,out_fee_buy,-0.00038708,12.01,12.01,,out_fee_buy
FY2026,ETH,2025-04-07 20:51:28,Trading fee,out_fee_buy,-0.00041291,12.8,12.8,,out_fee_buy
FY2026,LTC,2025-04-08 02:30:26,Trading fee,out_fee_buy,-0.008,11.2,11.2,,out_fee_buy
FY2026,ETH,2025-04-08 18:56:39,Trading fee,out_fee_buy,-0.00016391,4.84,4.84,,out_fee_buy
FY2026,ETH,2025-04-08 18:56:39,Trading fee,out_fee_buy,-0.00063608,18.8,18.8,,out_fee_buy
FY2026,ETH,2025-04-09 03:27:14,Trading fee,out_fee_buy,-0.0008,22.51,22.51,,out_fee_buy
FY2026,ETH,2025-04-10 18:41:42,Trading fee,out_fee_buy,-0.0003,8.91,8.91,,out_fee_buy
FY2026,ETH,2025-04-10 18:41:42,Trading fee,out_fee_buy,-0.0003,8.91,8.91,,out_fee_buy
FY2026,ETH,2025-04-10 18:41:42,Trading fee,out_fee_buy,-0.00177407,52.72,52.72,,out_fee_buy
FY2026,ETH,2025-04-10 18:41:43,Trading fee,out_fee_buy,-0.0003,8.91,8.91,,out_fee_buy
FY2026,ETH,2025-04-10 18:41:43,Trading fee,out_fee_buy,-0.0003,8.91,8.91,,out_fee_buy
FY2026,ETH,2025-04-10 18:47:11,Trading fee,out_fee_buy,-0.00002592,0.77,0.77,,out_fee_buy
FY2026,XBT,2025-05-30 19:13:27,"Bought 0.010273 BTC/ZAR @ 1,893,691",in_buy_for_other,0.010273,19453.88,1893690.2560109023654239,in_buy_for_other_de0f43e0f438f7,in_buy_for_other
FY2026,XBT,2025-05-30 19:13:27,Trading fee,out_fee_buy_for_other,-0.00006163,116.72,116.72,,out_fee_buy_for_other
FY2026,XBT,2025-05-30 19:13:27,Trading fee,out_fee_buy,-0.0000429,81.24,81.24,,out_fee_buy
FY2026,XBT,2025-05-30 20:27:17,Ant Speirs,out_other,-0.01722567,32765.55,32765.55,,out_other
FY2026,XBT,2025-05-30 20:27:17,Bitcoin send fee,out_other,-0.00011409,217.01,217.01,,out_other
FY2026,XBT,2025-06-05 19:10:46,"Bought 0.016127 BTC/ZAR @ 1,860,200",in_buy_for_other,0.016127,29999.44,1860199.6651578098840454,in_buy_for_other_b1e9891a6b130f,in_buy_for_other
FY2026,XBT,2025-06-05 19:10:46,Trading fee,out_fee_buy_for_other,-0.00004838,90.05,90.05,,out_fee_buy_for_other
FY2026,XBT,2025-06-05 19:26:14,Bitcoin send fee,out_other,-0.00005999,111.53,111.53,,out_other
FY2026,XBT,2025-06-05 19:26:14,Ant S,out_other,-0.01601863,29783.31,29783.31,,out_other
FY2026,XBT,2025-11-12 20:04:18,Trading fee,out_fee_buy,-0.00000469,8.23,8.23,,out_fee_buy
FY2026,XBT,2025-11-12 20:04:18,Trading fee,out_fee_buy,-0.00001806,31.7,31.7,,out_fee_buy
FY2026,XBT,2025-11-12 20:05:14,"Bought 0.000002 BTC/ZAR @ 1,756,898",in_buy_for_other,0.000002,3.51,1755000,in_buy_for_other_73dc7544392b0c,in_buy_for_other
FY2026,ETH,2025-11-17 01:03:00,Trading fee,out_fee_buy,-0.00045758,24.34,24.34,,out_fee_buy
FY2026,ETH,2025-11-17 01:03:19,Trading fee,out_fee_buy,-0.00014378,7.61,7.61,,out_fee_buy
FY2026,ETH,2025-11-17 01:03:20,Trading fee,out_fee_buy,-0.00005485,2.9,2.9,,out_fee_buy
FY2026,ETH,2025-11-17 01:03:20,Trading fee,out_fee_buy,-0.00014378,7.61,7.61,,out_fee_buy
FY2026,XBT,2025-11-17 09:09:21,Bitcoin send fee,out_other,-0.00006,98.53,98.53,,out_other
FY2026,XBT,2025-11-17 09:09:21,Ant Speirs,out_other,-0.00560825,9210.06,9210.06,,out_other
FY2026,ETH,2025-11-21 10:14:46,Trading fee,out_fee_buy,-0.00009528,4.52,4.52,,out_fee_buy
FY2026,ETH,2025-11-21 10:14:47,Trading fee,out_fee_buy,-0.00030204,14.34,14.34,,out_fee_buy
FY2026,ETH,2025-11-21 10:14:48,Trading fee,out_fee_buy,-0.00050266,23.86,23.86,,out_fee_buy
FY2026,XBT,2025-11-22 15:50:27,"Bought 0.027255 BTC/ZAR @ 1,465,950",in_buy_for_other,0.027255,39954.46,1465949.7339937626123647,in_buy_for_other_355f812518dd76,in_buy_for_other
FY2026,XBT,2025-11-22 15:50:27,Trading fee,out_fee_buy_for_other,-0.00013627,199.58,199.58,,out_fee_buy_for_other
FY2026,XBT,2025-11-22 16:05:38,Bitcoin send fee,out_other,-0.00006,88.09,88.09,,out_other
FY2026,XBT,2025-11-22 16:05:38,Ant Speirs,out_other,-0.02705873,39730.61,39730.61,,out_other
FY2026,LTC,2025-12-01 14:40:33,Trading fee,out_fee_buy,-0.008,10.67,10.67,,out_fee_buy
